Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-21,5.424002170562744,5.95507287979126,4.757958889007568,5.115321159362793,5.115321159362793,73987456
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-22,5.106748104095459,5.835846900939941,4.684020042419434,5.67157506942749,5.67157506942749,144937745
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-23,5.6701979637146,6.039031028747559,5.2683820724487305,5.570319175720215,5.570319175720215,119724206
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-24,5.569273948669434,6.269618988037109,5.2427592277526855,5.709990978240967,5.709990978240967,105920170
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-25,5.709741115570068,6.76754903793335,5.632880210876465,6.59494686126709,6.59494686126709,94117800
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-26,6.594038009643555,6.819969177246094,5.8570427894592285,6.066708087921143,6.066708087921143,92389741
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-27,6.069070816040039,6.542781829833984,6.023978233337402,6.249942779541016,6.249942779541016,106453428
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-28,6.249983787536621,6.4244890213012695,4.842390060424805,5.666603088378906,5.666603088378906,106857204
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-29,5.666609764099121,5.779091835021973,4.094510078430176,4.813530921936035,4.813530921936035,146951571
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-30,4.814176082611084,5.385571002960205,4.335746765136719,5.225719928741455,5.225719928741455,52028376
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-10-31,5.2267937660217285,5.537082195281982,4.776860237121582,4.835316181182861,4.835316181182861,33113722
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-11-01,4.836324214935303,5.50035285949707,4.134068012237549,5.2924628257751465,5.2924628257751465,81466291
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-11-02,5.291107177734375,5.73863697052002,4.919277191162109,5.408121109008789,5.408121109008789,35392725
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-11-03,5.409963130950928,6.512455940246582,5.300931930541992,6.379063129425049,6.379063129425049,51339379
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-11-04,6.311404228210449,6.921812057495117,6.024282932281494,6.330564022064209,6.330564022064209,46316679
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-11-05,6.332526206970215,6.904804229736328,5.690248966217041,6.19907808303833,6.19907808303833,35510677
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-11-06,6.1988959312438965,6.339422225952148,5.503672122955322,6.015326023101807,6.015326023101807,33292880
Toucan Protocol: Base Carbon Tonne USD,BCT-USD,2021-11-07,5.995427131652832,6.971981048583984,5.941857814788818,6.421054840087891,6.421054840087891,34872426
